,store_clus,logistic_qty,disc,yr_wk_num,intcp,prod_lvl_3_cd,discflag
1382156,1,-0.201802889,0,201706,1,668,1
1382200,1,-0.393769449,0,201704,1,668,1
1382406,2,-0.369640049,0,201705,1,668,1
1382408,1,-0.26834137,0,201706,1,668,1
1382445,2,-0.313310699,0,201704,1,668,1
1382507,3,-0.958138502,0,201705,1,668,1
1382533,3,1.6198737,0,201705,1,668,1
1382561,3,2.995732274,0,201704,1,668,1
1382596,5,2.995732274,0,201704,1,668,1
1382602,3,2.079441542,0,201705,1,668,1
1382645,2,0.309544299,0,201705,1,668,1
1382687,3,-1.335470358,0,201704,1,668,1
1382822,4,-0.405465108,0,201704,1,668,1
1382856,3,-0.912025844,0,201706,1,668,1
1383060,2,2.995732274,0,201706,1,668,1
1383062,2,-0.193262087,0,201706,1,668,1
1383133,2,-0.256142723,0,201705,1,668,1
1383147,2,-0.903230833,0,201706,1,668,1
1383171,2,2.995732274,0,201704,1,668,1
1383181,3,-0.201679531,0,201705,1,668,1
1383270,2,-0.253614663,0,201705,1,668,1
1383283,3,-0.312669639,0,201705,1,668,1
1383317,2,-1.306540741,0,201706,1,668,1
1383342,2,-0.247099077,0,201704,1,668,1
1383352,4,2.995732274,0,201704,1,668,1
1383370,4,-0.405465108,0,201706,1,668,1
1383401,2,-0.910301331,0,201705,1,668,1
1383423,2,-1.287073574,0,201705,1,668,1
1383431,2,2.995732274,0,201704,1,668,1
1383489,3,-0.942000103,0,201706,1,668,1
1383544,2,-0.319678727,0,201704,1,668,1
1383576,3,-0.244787696,0,201706,1,668,1
1383633,1,1.525110229,0,201704,1,668,1
1383671,4,-0.302733276,0,201705,1,668,1
1383741,1,-0.313310699,0,201705,1,668,1
1383744,2,2.995732274,0,201706,1,668,1
1383784,2,-0.173097678,0,201704,1,668,1
1383788,4,-0.236858069,0,201706,1,668,1
1383822,3,-0.291050365,0,201704,1,668,1
1383903,4,-0.356129638,0,201704,1,668,1
1383930,1,0.320374733,0,201704,1,668,1
1383939,3,-0.910301331,0,201705,1,668,1
1383972,2,-0.30357416,0,201705,1,668,1
1384005,5,-0.217154151,0,201704,1,668,1
1384053,2,-0.342346585,0,201705,1,668,1
1384063,3,1.957826387,0,201704,1,668,1
1384068,5,2.995732274,0,201706,1,668,1
1384179,3,-0.890536226,0,201705,1,668,1
1384216,2,-0.977533684,0,201706,1,668,1
1384228,5,2.995732274,0,201704,1,668,1
1384243,2,2.995732274,0,201705,1,668,1
1384244,5,-0.302733276,0,201706,1,668,1
1384252,4,-0.310501865,0,201706,1,668,1
1384353,2,-0.247099077,0,201706,1,668,1
1384378,4,2.995732274,0,201704,1,668,1
1384379,3,-0.972160653,0,201705,1,668,1
1384390,2,-1.301858774,0,201705,1,668,1
1384396,2,-0.25792747,0,201706,1,668,1
1384468,4,-1.599769639,0,201704,1,668,1
1384472,4,2.995732274,0,201705,1,668,1
1384490,2,-0.197389045,0,201706,1,668,1
1384544,4,2.995732274,0,201705,1,668,1
1384545,3,-0.912113398,0,201706,1,668,1
1384594,5,-0.21163944,0,201704,1,668,1
1384598,3,-0.942000103,0,201705,1,668,1
1384631,3,-0.262973774,0,201704,1,668,1
1384658,3,-0.306431633,0,201705,1,668,1
1384700,5,1.767364387,0,201706,1,668,1
1384701,5,2.995732274,0,201706,1,668,1
1384737,2,-0.3547438,0,201706,1,668,1
1384742,2,-0.977533684,0,201705,1,668,1
1384787,1,-0.308675377,0,201705,1,668,1
1384806,2,-1.306540741,0,201704,1,668,1
1384871,5,-0.405465108,0,201704,1,668,1
1384886,2,-0.167693576,0,201706,1,668,1
1384932,4,2.995732274,0,201705,1,668,1
1384962,1,-1.965115867,0,201704,1,668,1
1384973,5,-0.328763653,0,201705,1,668,1
1384974,4,1.739403992,0,201704,1,668,1
1385041,1,-0.896803667,0,201705,1,668,1
1385048,2,-0.919485825,0,201704,1,668,1
1385098,5,-0.956673343,0,201705,1,668,1
1385179,5,1.50885559,0,201705,1,668,1
1385276,2,0.264927933,0,201705,1,668,1
1385331,3,-0.903074417,0,201705,1,668,1
1385332,3,1.728683827,0,201705,1,668,1
1385431,2,-0.380427637,0,201704,1,668,1
1385439,3,-0.343867213,0,201704,1,668,1
1385458,4,-0.236557387,0,201704,1,668,1
1385474,2,-0.405465108,0,201705,1,668,1
1385476,1,-0.361300129,0,201706,1,668,1
1385493,2,-0.25792747,0,201705,1,668,1
1385528,2,-0.25792747,0,201705,1,668,1
1385570,4,0.208973756,0,201704,1,668,1
1385580,4,0.016166114,0,201706,1,668,1
1385654,4,-1.287716293,0,201706,1,668,1
1385718,4,-0.879316572,0,201706,1,668,1
1385760,3,2.995732274,0,201704,1,668,1
1385806,4,1.386294361,0,201706,1,668,1
1385809,3,-0.915760789,0,201705,1,668,1
1385819,3,0.259660144,0,201705,1,668,1
1385838,3,-0.329318875,0,201704,1,668,1
1385848,5,1.386294361,0,201706,1,668,1
1385926,5,2.995732274,0,201706,1,668,1
1385930,3,-0.201679531,0,201706,1,668,1
1385934,2,-0.274769892,0,201704,1,668,1
1385973,3,-0.223143551,0,201704,1,668,1
1386002,3,-0.274769892,0,201706,1,668,1
